Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Park Facility Name,Park Borough,School Name,School Number,School Region,School Code,School Phone Number,School Address,School City,School State,School Zip,School Not Found,School or Citywide Complaint,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Garage Lot Name,Ferry Direction,Ferry Terminal Name,Latitude,Longitude,Location
33157157,4/18/2016 14:04,5/14/2016 18:19,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11209,,,,,,,,BROOKLYN,,N/A,Closed,5/2/2016 14:04,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",5/14/2016 18:19,10 BROOKLYN,BROOKLYN,,,Dan Ross Playground,BROOKLYN,Dan Ross Playground,B210P,,,7189658900,"West side of Gowanus Parkway, 81st and 82nd Streets",BROOKLYN,NY,11209,N,,,,,,,,,,,,,,
33158241,4/18/2016 17:21,4/18/2016 17:42,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,11421,,,,,,,,WOODHAVEN,,N/A,Closed,5/2/2016 17:21,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/18/2016 17:42,09 QUEENS,QUEENS,,,Equity Park,QUEENS,Equity Park,Q053,,,7185205900,"90th Street, 88th and 89th Avenues",WOODHAVEN,NY,11421,,,,,,,,,,,,,,,
33159055,4/18/2016 15:49,4/22/2016 12:52,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,11208,,,,,ATLANTIC AVENUE,LINWOOD STREET,INTERSECTION,BROOKLYN,,N/A,Closed,5/2/2016 15:49,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time.  All complaints are used for future enforcement planning.,4/22/2016 12:52,05 BROOKLYN,BROOKLYN,"1,016,617","186,436",Unspecified,BROOKLYN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.67834134,-73.88330784,"(40.678341339628595, -73.8833078435073)"
33159124,4/18/2016 15:04,4/18/2016 16:00,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,5/2/2016 15:04,The reported condition was inspected and a summons has been issued.,4/18/2016 16:00,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,Central Park,M010,,,2124080100,"5th Avenue to Central Park West, 59th to 110th Streets",NEW YORK,NY,10021,,,,,,,,,,,,,,,
33159204,4/18/2016 16:34,4/18/2016 17:10,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10016,,,,,1 AVENUE,EAST   36 STREET,INTERSECTION,NEW YORK,,N/A,Closed,5/2/2016 16:34,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/18/2016 17:10,06 MANHATTAN,MANHATTAN,"991,849","210,726",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.74506752,-73.97257603,"(40.74506751725303, -73.97257603200211)"
33159205,4/18/2016 16:44,4/18/2016 17:30,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10458,,,,,EAST  188 STREET,ARTHUR AVENUE,INTERSECTION,BRONX,,N/A,Closed,5/2/2016 16:44,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/18/2016 17:30,06 BRONX,BRONX,"1,015,560","251,320",Unspecified,BRONX,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.85643468,-73.88681637,"(40.85643467747542, -73.886816369628)"
33160007,4/18/2016 12:38,4/18/2016 14:03,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11365,,,,,,,,FRESH MEADOWS,,N/A,Closed,5/2/2016 12:38,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,4/18/2016 14:03,07 QUEENS,QUEENS,,,Kissena Park,QUEENS,Kissena Park,Q024,,,7185205900,Oak Avenue to Hempstead Turnpike,FRESH MEADOWS,NY,11365,,,,,,,,,,,,,,,
33161268,4/18/2016 11:00,4/18/2016 11:16,DPR,Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Park,10023,,,,,WEST   73 STREET,AMSTERDAM AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,5/2/2016 11:00,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,4/18/2016 11:16,07 MANHATTAN,MANHATTAN,"989,475","223,194",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.77929069,-73.98113385,"(40.77929069076215, -73.98113384967594)"
33162195,4/18/2016 10:52,4/18/2016 16:48,DPR,Department of Parks and Recreation,Violation of Park Rules,Unauthorized Film Shoot,Park,11223,,,,,,,,BROOKLYN,,N/A,Closed,5/2/2016 10:52,No action was taken because the agency determined the condition reported was within acceptable parameters for park/city use.,4/18/2016 16:48,15 BROOKLYN,BROOKLYN,,,Mcdonald Playground - Brooklyn,BROOKLYN,Mcdonald Playground - Brooklyn,B244,,,7189658900,McDonald Avenue between Avenues S and T,BROOKLYN,NY,11223,N,,,,,,,,,,,,,,
33162879,4/18/2016 15:44,5/14/2016 18:15,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10034,,,,,,,,NEW YORK,,N/A,Closed,5/2/2016 15:44,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,5/14/2016 18:15,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park,MANHATTAN,Inwood Hill Park,M042,,,2124080100,"Dyckman Street, Hudson River, Harlem River Ship Canal",NEW YORK,NY,10034,N,,,,,,,,,,,,,,
33164705,4/19/2016 15:59,4/22/2016 15:40,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11224,,,,,,,,BROOKLYN,,N/A,Closed,5/3/2016 15:59,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/22/2016 15:40,13 BROOKLYN,BROOKLYN,,,Kaiser Park,BROOKLYN,Kaiser Park,B129,,,7189658900,"Neptune and Bayview Avenues, West 24th to 32nd Streets, Gravesend Bay",BROOKLYN,NY,11224,N,,,,,,,,,,,,,,
33165713,4/19/2016 13:04,4/19/2016 13:05,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,10010,,,,,,,,NEW YORK,,N/A,Closed,5/3/2016 13:04,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,4/19/2016 13:05,05 MANHATTAN,MANHATTAN,,,Madison Square Park,MANHATTAN,Madison Square Park,M052,,,2124080100,"Broadway to Madison Avenue, East 23rd to 26th Streets",NEW YORK,NY,10010,N,,,,,,,,,,,,,,
33165735,4/19/2016 14:08,4/19/2016 14:44,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,11421,,,,,,,,WOODHAVEN,,N/A,Closed,5/3/2016 14:08,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,4/19/2016 14:44,09 QUEENS,QUEENS,,,Equity Park,QUEENS,Equity Park,Q053,,,7185205900,"90th Street, 88th and 89th Avenues",WOODHAVEN,NY,11421,,,,,,,,,,,,,,,
33166626,4/19/2016 15:48,4/19/2016 17:29,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10003,,,,,,,,NEW YORK,,N/A,Closed,5/3/2016 15:48,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/19/2016 17:29,05 MANHATTAN,MANHATTAN,,,Union Square Park,MANHATTAN,Union Square Park,M089,,,2124080100,"Broadway to 4th Avenue, East 14th to 17th Streets",NEW YORK,NY,10003,,,,,,,,,,,,,,,
33167588,4/19/2016 14:18,4/19/2016 14:57,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10025,,,,,,,,NEW YORK,,N/A,Closed,5/3/2016 14:18,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,4/19/2016 14:57,07 MANHATTAN,MANHATTAN,,,Happy Warrior Playground,MANHATTAN,Happy Warrior Playground,M229,,,2124080100,West 98th Street and Amsterdam Avenue,NEW YORK,NY,10025,,,,,,,,,,,,,,,
33169466,4/19/2016 20:09,4/19/2016 21:30,DPR,Department of Parks and Recreation,Violation of Park Rules,Biking/Rollerblading off Path,Park,11230,,,,,,,,BROOKLYN,,N/A,Closed,5/3/2016 20:09,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time.  All complaints are used for future enforcement planning.,4/19/2016 21:30,12 BROOKLYN,BROOKLYN,,,Friends Field,BROOKLYN,Friends Field,B372,,,7189658900,"Avenue L, East 4th Street, McDonald Avenue, Avenue M",BROOKLYN,NY,11230,N,,,,,,,,,,,,,,
33169594,4/19/2016 13:28,4/22/2016 13:55,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11216,,,,,,,,BROOKLYN,,N/A,Closed,5/3/2016 13:28,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,4/22/2016 13:55,03 BROOKLYN,BROOKLYN,,,Hancock Playground,BROOKLYN,Hancock Playground,B237,,,7189658900,Bedford Avenue and Hancock Street,BROOKLYN,NY,11216,N,,,,,,,,,,,,,,
33170354,4/19/2016 11:54,4/19/2016 12:51,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10007,,,,,,,,NEW YORK,,N/A,Closed,5/3/2016 11:54,The reported condition was inspected and a summons has been issued.,4/19/2016 12:51,Unspecified MANHATTAN,MANHATTAN,,,Washington Market Park,MANHATTAN,Washington Market Park,M308,,,NA 0/0,Chambers between Greenwich and West Street,NEW YORK,NY,10007,,,,,,,,,,,,,,,
33172264,4/20/2016 17:34,4/20/2016 18:28,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,11385,,,,,,,,RIDGEWOOD,,N/A,Closed,5/4/2016 17:34,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/20/2016 18:28,05 QUEENS,QUEENS,,,Grover Cleveland Park,QUEENS,Grover Cleveland Park,Q002,,,7185205900,Grandview and Fairview Avenues,RIDGEWOOD,NY,11385,,,,,,,,,,,,,,,
33173247,4/20/2016 20:59,4/22/2016 14:27,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10011,,,,,,,,NEW YORK,,N/A,Closed,5/4/2016 20:59,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,4/22/2016 14:27,02 MANHATTAN,MANHATTAN,,,Washington Square Park,MANHATTAN,Washington Square Park,M098,,,2124080100,"5th Avenue, Waverly Place, West 4th and Macdougal Streets",NEW YORK,NY,10011,,,,,,,,,,,,,,,
33175156,4/20/2016 13:05,4/20/2016 13:18,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,11375,,,,,,,,FOREST HILLS,,N/A,Closed,5/4/2016 13:05,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/20/2016 13:18,Unspecified QUEENS,QUEENS,,,Flushing Meadows Corona Park,QUEENS,Flushing Meadows Corona Park,Q099,,,7183536342,"Grand Central Parkway, Van Wyck Expressway",FOREST HILLS,NY,11375,,,,,,,,,,,,,,,
33176797,4/20/2016 8:48,5/13/2016 9:53,DPR,Department of Parks and Recreation,Violation of Park Rules,Use of Newly Seeded Lawn,Park,10033,,,,,,,,NEW YORK,,N/A,Closed,5/4/2016 8:48,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,5/13/2016 9:53,12 MANHATTAN,MANHATTAN,,,Bennett Park,MANHATTAN,Bennett Park,M009,,,2124080100,West 185th Street and Fort Washington Avenue,NEW YORK,NY,10033,N,,,,,,,,,,,,,,
33176299,4/20/2016 16:11,4/20/2016 16:15,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,10011,,,,,,,,NEW YORK,,N/A,Closed,5/4/2016 16:11,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,4/20/2016 16:15,02 MANHATTAN,MANHATTAN,,,Washington Square Park,MANHATTAN,Washington Square Park,M098,,,2124080100,"5th Avenue, Waverly Place, West 4th and Macdougal Streets",NEW YORK,NY,10011,N,,,,,,,,,,,,,,
33177204,4/20/2016 14:03,4/20/2016 14:28,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,11421,,,,,,,,WOODHAVEN,,N/A,Closed,5/4/2016 14:03,The reported condition was inspected and a summons has been issued.,4/20/2016 14:28,09 QUEENS,QUEENS,,,Equity Park,QUEENS,Equity Park,Q053,,,7185205900,"90th Street, 88th and 89th Avenues",WOODHAVEN,NY,11421,,,,,,,,,,,,,,,
33177971,4/20/2016 18:28,5/5/2016 9:37,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11201,,,,,,,,BROOKLYN,,N/A,Closed,5/4/2016 18:28,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",5/5/2016 9:37,06 BROOKLYN,BROOKLYN,,,Van Voorhees Playground,BROOKLYN,Van Voorhees Playground,B050,,,7189658900,"Congress, Columbia, Southwest Brooklyn-Queens Expressway",BROOKLYN,NY,11201,N,,,,,,,,,,,,,,
33178918,4/20/2016 16:23,4/20/2016 18:45,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,5/4/2016 16:23,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/20/2016 18:45,08 MANHATTAN,MANHATTAN,,,St Catherine's Park,MANHATTAN,St Catherine's Park,M079,,,2124080100,"East 67th to 68th Streets, 1st Avenue",NEW YORK,NY,10021,N,,,,,,,,,,,,,,
33180435,4/21/2016 18:17,4/21/2016 18:22,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,10457,,,,,,,,BRONX,,N/A,Closed,5/5/2016 18:17,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,4/21/2016 18:22,06 BRONX,BRONX,,,Belmont Playground - Bronx,BRONX,Belmont Playground - Bronx,X108,,,7184301800,Crotona Avenue and East 181st Street,BRONX,NY,10457,N,,,,,,,,,,,,,,
33180458,4/21/2016 13:27,4/21/2016 13:28,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,11104,,,,,,,,SUNNYSIDE,,N/A,Closed,5/5/2016 13:27,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,4/21/2016 13:28,02 QUEENS,QUEENS,,,Noonan Playground,QUEENS,Noonan Playground,Q044,,,7185205900,"Greenpoint and 47th Avenues, 43rd Street",SUNNYSIDE,NY,11104,N,,,,,,,,,,,,,,
33180480,4/21/2016 12:48,4/21/2016 12:59,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,10021,,,,,,,,NEW YORK,,N/A,Closed,5/5/2016 12:48,The reported condition was inspected and a summons has been issued.,4/21/2016 12:59,Unspecified MANHATTAN,MANHATTAN,,,Central Park,MANHATTAN,Central Park,M010,,,2124080100,"5th Avenue to Central Park West, 59th to 110th Streets",NEW YORK,NY,10021,,,,,,,,,,,,,,,
33181207,4/21/2016 11:16,5/14/2016 18:20,DPR,Department of Parks and Recreation,Violation of Park Rules,Unauthorized Posting of Signs,Park,10002,,,,,,,,NEW YORK,,N/A,Closed,5/5/2016 11:16,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,5/14/2016 18:19,03 MANHATTAN,MANHATTAN,,,East River Park,MANHATTAN,East River Park,M144,,,2124080100,"Montgomery Street to East 12th Street, FDR Drive",NEW YORK,NY,10002,N,,,,,,,,,,,,,,
33182050,4/21/2016 11:51,4/21/2016 14:39,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Street/Curbside,10075,,,,,EAST   79 STREET,5 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,5/5/2016 11:51,The reported condition was inspected and a summons has been issued.,4/21/2016 14:39,08 MANHATTAN,MANHATTAN,"994,296","222,363",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.77700565,-73.96372768,"(40.77700565044055, -73.96372768490096)"
33183125,4/21/2016 16:11,4/21/2016 18:16,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,10310,,,,,,,,STATEN ISLAND,,N/A,Closed,5/5/2016 16:11,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/21/2016 18:16,01 STATEN ISLAND,STATEN ISLAND,,,Levy Playground,STATEN ISLAND,Levy Playground,R033,,,7183908000,Jewett and Castleton Avenues,STATEN ISLAND,NY,10310,N,,,,,,,,,,,,,,
33183856,4/21/2016 10:06,4/21/2016 11:27,DPR,Department of Parks and Recreation,Violation of Park Rules,Unauthorized Film Shoot,Park,10003,,,,,,,,NEW YORK,,N/A,Closed,5/5/2016 10:06,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,4/21/2016 11:27,02 MANHATTAN,MANHATTAN,,,Lieutenant Petrosino Square,MANHATTAN,Lieutenant Petrosino Square,M170,,,2124080100,"Kenmare and Lafayette Streets, Cleveland Place",NEW YORK,NY,10003,,,,,,,,,,,,,,,
33184598,4/21/2016 13:37,4/21/2016 14:54,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Street/Curbside,10075,,,,,EAST   79 STREET,5 AVENUE,INTERSECTION,NEW YORK,,N/A,Closed,5/5/2016 13:37,The reported condition was inspected and a summons has been issued.,4/21/2016 14:54,08 MANHATTAN,MANHATTAN,"994,296","222,363",Unspecified,MANHATTAN,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.77700565,-73.96372768,"(40.77700565044055, -73.96372768490096)"
33185438,4/21/2016 9:58,4/21/2016 10:44,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11374,,,,,YELLOWSTONE BOULEVARD,68 ROAD,INTERSECTION,REGO PARK,,N/A,Closed,5/5/2016 9:58,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,4/21/2016 10:44,06 QUEENS,QUEENS,"1,023,460","199,901",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,,,,,,,,,,,,,40.71527192,-73.85855855,"(40.71527191867374, -73.85855855442982)"
33190412,4/22/2016 8:21,4/23/2016 12:27,DPR,Department of Parks and Recreation,Violation of Park Rules,Unauthorized Film Shoot,Park,11223,,,,,,,,BROOKLYN,,N/A,Closed,5/6/2016 8:21,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,4/23/2016 12:27,15 BROOKLYN,BROOKLYN,,,Mcdonald Playground - Brooklyn,BROOKLYN,Mcdonald Playground - Brooklyn,B244,,,7189658900,McDonald Avenue between Avenues S and T,BROOKLYN,NY,11223,N,,,,,,,,,,,,,,
33190400,4/22/2016 8:11,7/16/2016 14:34,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11372,,,,,,,,JACKSON HEIGHTS,,N/A,Closed,5/6/2016 8:11,The condition was determined to be an issue appropriate for handling by an alternate entity.  The Department of Parks and Recreation has notified the appropriate resource.,7/16/2016 14:34,03 QUEENS,QUEENS,,,Travers Park,QUEENS,Travers Park,Q303,,,7185205900,"78th Street, South of Northern Boulevard",JACKSON HEIGHTS,NY,11372,N,,,,,,,,,,,,,,
33193948,4/22/2016 11:47,4/23/2016 12:35,DPR,Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Park,11356,,,,,,,,COLLEGE POINT,,N/A,Closed,5/6/2016 11:47,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time.  All complaints are used for future enforcement planning.,4/23/2016 12:35,07 QUEENS,QUEENS,,,Macneil Park,QUEENS,Macneil Park,Q009,,,7185205900,"Poppenhusen Avenue, College Place, 115th Street, East River",COLLEGE POINT,NY,11356,N,,,,,,,,,,,,,,
33195013,4/22/2016 9:19,4/27/2016 15:06,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11373,,,,,BROADWAY,82 STREET,INTERSECTION,ELMHURST,,N/A,Closed,4/25/2016 9:19,The condition was inspected and it was determined that no work order was necessary.  The condition will not be inspected again for at least 90 days.,4/27/2016 15:06,04 QUEENS,QUEENS,"1,016,718","209,953",Unspecified,QUEENS,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,N,,,,,,,,,,,,40.74288949,-73.8828303,"(40.742889489397896, -73.88283030192275)"
33197419,4/23/2016 22:31,4/23/2016 22:31,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,10034,,,,,,,,NEW YORK,,N/A,Closed,5/7/2016 22:31,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,4/23/2016 22:31,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Nature Center,MANHATTAN,Inwood Hill Park - Nature Center,M042,,,2123042365,218th Street and Indian Road,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
33197500,4/23/2016 13:40,4/23/2016 14:03,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Beach,10465,,,PELHAM BAY PARK,,,,,BRONX,,N/A,Closed,5/7/2016 13:40,The agency was unable to respond to this complaint because they allocated resources to other critical services at the time.  All complaints are used for future enforcement planning.,4/23/2016 14:03,Unspecified BRONX,BRONX,,,Beach - Orchard,BRONX,Beach - Orchard,X039,,,2124080239,On the Long Island Sound in Pelham Bay Park,BRONX,NY,10465,,,,,,,,,,,,,,,
33198344,4/23/2016 13:04,4/23/2016 13:09,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,10011,,,,,,,,NEW YORK,,N/A,Closed,5/7/2016 13:04,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,4/23/2016 13:09,02 MANHATTAN,MANHATTAN,,,Washington Square Park,MANHATTAN,Washington Square Park,M098,,,2124080100,"5th Avenue, Waverly Place, West 4th and Macdougal Streets",NEW YORK,NY,10011,,,,,,,,,,,,,,,
33199076,4/23/2016 23:17,4/23/2016 23:17,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,10034,,,,,,,,NEW YORK,,N/A,Closed,5/7/2016 23:17,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,4/23/2016 23:17,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Indian Road Playground,MANHATTAN,Inwood Hill Park - Indian Road Playground,M042-03,,,2124080100,West 214th Street and Seaman Avenue,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
33199079,4/23/2016 18:12,4/23/2016 18:58,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,11385,,,,,,,,RIDGEWOOD,,N/A,Closed,5/7/2016 18:12,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/23/2016 18:58,Unspecified QUEENS,QUEENS,,,Forest Park - Victory Field,QUEENS,Forest Park - Victory Field,Q015,,,7182354100,East Long Island Railroad to West Woodhaven Boulevard to North Myrtle Avenue to South 96th Street,RIDGEWOOD,NY,11385,,,,,,,,,,,,,,,
33199201,4/23/2016 20:19,5/14/2016 18:23,DPR,Department of Parks and Recreation,Violation of Park Rules,BBQ Outside Authorized Area,Park,11211,,,,,,,,BROOKLYN,,N/A,Closed,5/7/2016 20:19,Work to correct the reported condition has been deferred because of seasonal considerations and will be corrected as soon as possible.,5/14/2016 18:23,01 BROOKLYN,BROOKLYN,,,Mccarren Park,BROOKLYN,Mccarren Park,B058,,,7189658900,"Nassau Avenue, Bayard, Leonard and North 12th Streets",BROOKLYN,NY,11211,N,,,,,,,,,,,,,,
33201012,4/23/2016 13:50,4/23/2016 14:58,DPR,Department of Parks and Recreation,Violation of Park Rules,Unsafe Use of Playground,Park,11207,,,,,,,,BROOKLYN,,N/A,Closed,5/7/2016 13:50,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,4/23/2016 14:58,05 BROOKLYN,BROOKLYN,,,Linden Park - Linden Park School Playground,BROOKLYN,Linden Park - Linden Park School Playground,B214,,,7189658900,Stanley Avenue and Linden Boulevard,BROOKLYN,NY,11207,,,,,,,,,,,,,,,
33201880,4/23/2016 22:34,4/23/2016 22:35,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,10034,,,,,,,,NEW YORK,,N/A,Closed,5/7/2016 22:34,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,4/23/2016 22:35,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Indian Road Playground,MANHATTAN,Inwood Hill Park - Indian Road Playground,M042-03,,,2124080100,West 214th Street and Seaman Avenue,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
33203356,4/24/2016 18:02,4/24/2016 18:22,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Park,11375,,,,,,,,FOREST HILLS,,N/A,Closed,5/8/2016 18:02,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",4/24/2016 18:22,Unspecified QUEENS,QUEENS,,,Flushing Meadows Corona Park,QUEENS,Flushing Meadows Corona Park,Q099,,,7183536342,"Grand Central Parkway, Van Wyck Expressway",FOREST HILLS,NY,11375,,,,,,,,,,,,,,,
33203358,4/24/2016 17:43,4/24/2016 17:43,DPR,Department of Parks and Recreation,Violation of Park Rules,Smoking,Park,10034,,,,,,,,NEW YORK,,N/A,Closed,5/8/2016 17:43,The Department of Parks and Recreation has limited resources to follow up on this complaint. Your complaint will help the City schedule patrols and target particular areas for enforcement.,4/24/2016 17:43,12 MANHATTAN,MANHATTAN,,,Inwood Hill Park - Nature Center,MANHATTAN,Inwood Hill Park - Nature Center,M042,,,2123042365,218th Street and Indian Road,NEW YORK,NY,10034,N,,,,,,,,,,,,,,
33203723,4/24/2016 16:47,5/14/2016 18:28,DPR,Department of Parks and Recreation,Violation of Park Rules,Obstructing Public Use,Park,11213,,,,,,,,BROOKLYN,,N/A,Closed,5/8/2016 16:47,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",5/14/2016 18:28,08 BROOKLYN,BROOKLYN,,,Brower Park,BROOKLYN,Brower Park,B012,,,7189658900,"Brooklyn, St. Marks, Kingston Avenues, Park Place",BROOKLYN,NY,11213,N,,,,,,,,,,,,,,
